logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
0.5191453157876,-0.00167622412591006,20.2462896800798,6.37267315306491e-66,2.17483090645284e-63,139.404805496491,TNFRSF10D
-0.201371553004748,-0.0128302077409422,-20.2111452377941,9.32026525754914e-66,3.1196003232239e-63,139.026659489002,CDKN2D
-0.389044435679483,-0.161936810525696,-20.188187740042,1.19473499802979e-65,3.78079320740154e-63,138.77966448817,NCALD
0.578874448051444,0.239732318431116,20.1632832460161,1.69571646001838e-65,5.27034731903926e-63,138.431859250636,GFAP
-0.268735088758063,-0.0744891433468951,-20.0822467978067,3.75687899996468e-65,1.12738756886871e-62,137.640106705235,C5orf13
0.381417942198108,-0.0200865683152034,20.0728913552491,4.15677837957387e-65,1.21401133192527e-62,137.53949411584,C1orf162
0.259029076046681,0.138279860294647,20.0722645711928,4.18504337348557e-65,1.21401133192527e-62,137.532753518421,MOV10L1
-0.281109887781187,-0.127974411272377,-20.0482940120982,5.42312938140719e-65,1.54736994890807e-62,137.274979067256,ANKRD39
-0.434173428211093,-0.230356198927195,-20.025829790679,6.91382739450724e-65,1.9408897709903e-62,137.033423375936,CA10
-0.256290658107007,-0.0789674053518201,-20.0000297839036,9.1377221061961e-65,2.52447703584672e-62,136.756022496803,C1orf95
-0.489315442591327,-0.327095581657388,-19.9963501305223,9.50848516823029e-65,2.58586225551638e-62,136.716461112232,RGS4
-0.603606134331434,-0.374209753505353,-19.9302409450394,1.94270612757344e-64,5.2019692539101e-62,136.005788490694,TAC1
0.304872358386356,-0.000871755269807281,19.9264970800422,2.02291347870892e-64,5.33466804498919e-62,135.965547366573,EMP3
-0.331577449664843,-0.152931657199143,-19.9073353581092,2.48828719714947e-64,6.4639759203562e-62,135.759595806171,NEK2
-0.469052836559254,-0.289513571237687,-19.9007812704169,2.67089214140587e-64,6.83630554723076e-62,135.689155553708,NMS
0.392128464578014,0.0663322061308351,19.8863434333948,3.12179828953284e-64,7.87462307671292e-62,135.533990916613,ATOH8
-0.279368781702304,-0.130567751678651,-19.8204390087301,6.36218991382552e-64,1.58191307785904e-61,134.82582542944,GPR120
0.488393808398621,0.0464367034385439,19.8188594847432,6.47166772662941e-64,1.58647009552091e-61,134.808855261111,SYTL4
-0.339620926581363,-0.189189130464668,-19.7639795493321,1.17065440748436e-63,2.82989443920351e-61,134.219303795646,RP3-398D13.1
-0.252876390542366,-0.122386583877944,-19.7506645325405,1.35167806769979e-63,3.22273380387875e-61,134.076287233255,TMEM118
